sentence,entities,character
"Let him beg, it won’t do him no good.After he opened his
throat, he’d open the cages and shoo the birds away, so no messages
reached the Wall.They’d
been caching food for a fortnight, and Sweet Donnel and Clubfoot
Karl would have the horses ready.","['Wall', 'Sweet Donnel', 'Clubfoot\nKarl']",['sweet']
"With Mormont dead, command
would pass to Ser Ottyn Wythers, an old done man, and failing.
He’ll be running for the Wall before sundown, and he won’t waste no
men sending them after us neither.
",['Ser Ottyn Wythers'],['ottyn']
"The water
was icy cold, and patches of ice were spreading across its surface.
“I’m going to make for the coast,”, Lark the Sisterman con�ded.“Me
and my cousins.",['Lark the Sisterman'],['lark']
"We’ll build us a boat, sail back home to the
Sisters.”,
And at home they’ll know you for deserters and lop o� your fool
heads, thought Chett.There was no leaving the Night’s Watch, once
you said your words.","['Sisters', 'Chett', 'the Night’s Watch']",['chett']
"Ollo Lophand now, he was talking about sailing back to Tyrosh,
where he claimed men didn’t lose their hands for a bit of honest
thievery, nor get sent o� to freeze their life away for being found in
bed with some knight’s wife.","['Ollo Lophand', 'Tyrosh']",['ollo']
"When he climbed out
he’d be covered from nipple to ankle.Sometimes he made Chett
help pull the leeches o�.One had attached itself to his palm once,
and he’d smashed it against a wall in revulsion.",['Chett'],['chett']
"His father beat him
bloody for that.The maesters bought the leeches at twelve-for-a-
penny.
Lark could go home if he liked, and the damn Tyroshi too, but not
Chett.",['Tyroshi'],['tyroshi']
"If he never saw Hag’s Mire again, it would be too bloody
soon.He had liked the look of Craster’s Keep, himself.Craster lived
high as a lord there, so why shouldn’t he do the same?","['Hag’s Mire', 'Craster', 'Craster']","['craster', 'craster']"
"Mance Rayder started out a crow.I could
be a king same as him, and have me some wives.Craster had nineteen,
not even counting the young ones, the daughters he hadn’t gotten
around to bedding yet.",['Craster'],['craster']
"The old ones Chett could put to
work cooking and cleaning for him, pulling carrots and slopping
pigs, while the young ones warmed his bed and bore his children.
",['Chett'],['chett']
"Half them wives were as old and ugly as
Craster, but that didn’t matter.Craster wouldn’t object, not once Small Paul gave him a hug.
The only women Chett had ever known were the whores he’d
bought in Mole’s Town.","['Craster', 'Craster', 'Small Paul', 'Chett', 'Mole’s Town']","['craster', 'craster', 'small', 'chett']"
"When he’d been younger, the village girls
took one look at his face, with its boils and its wen, and turned
away sickened.The worst was that slattern Bessa.",['Bessa'],['bessa']
"He’d sent one of his bastards, that Walder Rivers, and the
next thing Chett had known he was walking to the Wall with that
foul-smelling black devil Yoren.","['Walder Rivers', 'Chett', 'Yoren']","['walder', 'chett', 'yoren']"
"But now he meant to take it back, and Craster’s women too.That
twisted old wildling has the right of it.If you want a woman to wife you
take her, and none of this giving her �owers so that maybe she don’t
",['Craster'],['craster']
"notice your bloody boils.Chett didn’t mean to make that mistake
again.
It would work, he promised himself for the hundredth time.So
long as we get away clean.","['Chett', 'hundredth']",['chett']
"Thoren Smallwood
now, he’d want to press on with the attack, but Ser Ottyn’s caution
ran too deep, and he was senior.It won’t matter anyhow.Once we’re
gone, Smallwood can attack anyone he likes.","['Thoren Smallwood', 'Smallwood']",['thoren']
"But they would need to kill Ser Ottyn and
Ser Mallador Locke as well to give Smallwood the command, and
both of them were well-attended day and night … ",['Ser Ottyn'],['ottyn']
"“Chett,”, said Small Paul as they trudged along a stony game trail
through sentinels and soldier pines, “what about the bird?”,
“What bloody bird?”, The last thing he needed now was some
mutton-head going on about a bird.
",['Small Paul'],['small']
"no, the risk was
too great.
“The Old Bear’s raven,”, Small Paul said.“If we kill him, who’s
going to feed his bird?”,
“Who bloody well cares?Kill the bird too if you like.”,
“I don’t want to hurt no bird,”, the big man said.",['Small Paul'],['small']
"“But that’s a
talking bird.What if it tells what we did?”,
Lark the Sisterman laughed.“Small Paul, thick as a castle wall,”,
he mocked.
“You shut up with that,”, said Small Paul dangerously.
","['Sisterman', 'Paul', 'Small Paul']",['small']
"“Paul,”, said Chett, before the big man got too angry, “when they
�nd the old man lying in a pool of blood with his throat slit, they
won’t need no bird to tell them someone killed him.”,
Small Paul chewed on that a moment.","['Paul', 'Chett', 'Small Paul']","['chett', 'small']"
"“That’s true,”, he allowed.
“Can I keep the bird, then?I like that bird.”,
“He’s yours,”, said Chett, just to shut him up.
“We can always eat him if we get hungry,”, o�ered Lark.
","['Chett', 'Lark']","['chett', 'lark']"
"Small Paul clouded up again.“Best not try and eat my bird, Lark.
Best not.”,
Chett could hear voices drifting through the trees.“Close your
bloody mouths, both of you.","['Small Paul', 'Lark', 'Chett']","['small', 'lark', 'chett']"
"Just the sight of
Samwell Tarly �lled him with anger.Stewarding for Maester
Aemon had been as good a life as he’d ever known.The old blind
man was undemanding, and Clydas had taken care of most of his
wants anyway.","['Maester\nAemon', 'Clydas']",['clydas']
"Chett’s duties were easy: cleaning the rookery, a
few �res to build, a few meals to fetch … and Aemon never once hit
him.Thinks he can just walk in and shove me out, on account of being
highborn and knowing how to read.",['Aemon'],['aemon']
"He watched from the trees as the fat boy wrestled with a
longbow as tall as he was, his red moon face screwed up with
concentration.Three arrows stood in the ground before him.",['red moon'],['red']
"As if that could be helped.He was white
and it was snowing, what did they expect?”,
“The wind took that one,”, said Grenn, another friend of Lord
Snow’s.","['Grenn', 'Lord\nSnow’s']",['grenn']
"“Try to hold the bow steady, Sam.”,
“It’s heavy,”, the fat boy complained, but he pulled the second
arrow all the same.This one went high, sailing through the
","['Sam', 'second']",['sam']
"Shoot the
last arrow, Samwell, I believe my tongue is freezing to the roof of
my mouth.”,
Ser Piggy lowered the bow, and Chett thought he was going to
start bawling.","['Samwell', 'Ser Piggy', 'Chett']","['samwell', 'chett']"
"“And we all know what follows fall.Gods, but I am cold.“It’s too hard.”,
“Notch, draw, and loose,”, said Grenn.“Go on.”,
Dutifully, the fat boy plucked his �nal arrow from the earth,
notched it to his longbow, drew, and released.","['Grenn', 'Dutifully']",['grenn']
"“I hit him.”, Ser Piggy sounded shocked.
“Grenn, did you see?Edd, look, I hit him!”,
“Put it between his ribs, I’d say,”, said Grenn.
“Did I kill him?”, the fat boy wanted to know.
","['Ser Piggy', 'Grenn', 'Grenn']","['grenn', 'grenn']"
"Tollett shrugged.“Might have punctured a lung, if he had a lung.
Most trees don’t, as a rule.”, He took the bow from Sam’s hand.“I’ve
seen worse shots, though.","['Tollett', 'Sam']",['sam']
"Aye, and made a few.”,
Ser Piggy was beaming.To look at him you’d think he’d actually
done something.But when he saw Chett and the dogs, his smile
curled up and died squeaking.
",['Chett'],['chett']
"“You hit a tree,”, Chett said.“Let’s see how you shoot when it’s
Mance Rayder’s lads.They won’t stand there with their arms out
and their leaves rustling, oh no.","['Chett', 'Mance Rayder’s']","['chett', 'mance']"
"“Brother,”, he said solemnly, “just because it happened
that way for you doesn’t mean Samwell will su�er the same.”,
“What are you talking about, Tollett?”,
“The axe that split your skull.","['Samwell', 'Tollett']",['samwell']
"Is it true that half your wits leaked
out on the ground and your dogs ate them?”,
The big lout Grenn laughed, and even Samwell Tarly managed a
weak little smile.","['Grenn', 'Samwell Tarly']","['grenn', 'samwell']"
"He gave them a taste of his
boot instead, and a crack of the whip for the big ugly one that
snapped at him.Once they were tied up, he went to report.“The
prints were there like Giant said, but the dogs wouldn’t track,”, he
told Mormont in front of his big black tent.","['Giant', 'Mormont']","['giant', 'mormont']"
"“Down by the river like
that, could be old prints.”,
“A pity.”, Lord Commander Mormont had a bald head and a great
shaggy grey beard, and sounded as tired as he looked.","['Mormont', 'grey beard']","['mormont', 'grey']"
"“We might
all have been better for a bit of fresh meat.”, The raven on his
shoulder bobbed its head and echoed, “Meat.Meat.Meat.”,
We could cook the bloody dogs, Chett thought, but he kept his
mouth shut until the Old Bear sent him on his way.",['Chett'],['chett']
"The dogs huddled
together miserably in the hard frozen mud, and Chett was half
tempted to crawl in with them.Instead he wrapped a black wool
scarf round the lower part of his face, leaving a slit for his mouth
between the winds.",['Chett'],['chett']
"The wind was rising as the shadows lengthened.It made a high
thin sound as it shivered through the stones of the ringwall.“I hate
that sound,”, little Giant said.",['Giant'],['giant']
"“It sounds like a babe in the brush,
wailing away for milk.”,
When he �nished the circuit and returned to the dogs, he found
Lark waiting for him.“The o�cers are in the Old Bear’s tent again,
talking something �erce.”,
“That’s what they do,”, said Chett.",['Chett'],['chett']
"“They’re highborn, all but
Blane, they get drunk on words instead of wine.”,
Lark sidled closer.“Cheese-for-wits keeps going on about the
bird,”, he warned, glancing about to make certain no one was close.
",['Blane'],['blane']
"“Now he’s asking if we cached any seed for the damn thing.”,
“It’s a raven,”, said Chett.“It eats corpses.”,
Lark grinned.“His, might be?”,
Or yours.It seemed to Chett that they needed the big man more
than they needed Lark.","['Chett', 'Chett', 'Lark']","['chett', 'chett', 'lark']"
"“Stop fretting about Small Paul.You do your
part, he’ll do his.”,
Twilight was creeping through the woods by the time he rid
himself of the Sisterman and sat down to edge his sword.","['Small Paul', 'Sisterman']",['small']
"Dywen was holding forth at the cook�re as Chett got his heel of
hardbread and a bowl of bean and bacon soup from Hake the cook.
“The wood’s too silent,”, the old forester was saying.",['Chett'],['chett']
"“No frogs near
that river, no owls in the dark.I never heard no deader wood than
this.”,
“Them teeth of yours sound pretty dead,”, said Hake.
Dywen clacked his wooden teeth.",['Dywen'],['dywen']
"“No wolves neither.There was,
before, but no more.Where’d they go, you �gure?”,
“Someplace warm,”, said Chett.
Of the dozen odd brothers who sat by the �re, four were his.",['Chett'],['chett']
"He
gave each one a hard squinty look as he ate, to see if any showed
signs of breaking.Dirk seemed calm enough, sitting silent and
sharpening his blade, the way he did every night.",['Dirk'],['dirk']
"And Sweet Donnel
Hill was all easy japes.He had white teeth and fat red lips and
yellow locks that he wore in an artful tumble about his shoulders,
and he claimed to be the bastard of some Lannister.","['Sweet Donnel', 'Hill']",['sweet']
"Maybe he was
at that.Chett had no use for pretty boys, nor for bastards neither,
but Sweet Donnel seemed like to hold his own.
He was less certain about the forester the brothers called
Sawwood, more for his snoring than for anything to do with trees.
","['Chett', 'Sweet Donnel', 'Sawwood']","['chett', 'sweet', 'sawwood']"
"Just now he looked so restless he might never snore again.And
Maslyn was worse.Chett could see sweat trickling down his face,
despite the frigid wind.The beads of moisture sparkled in the
�relight, like so many little wet jewels.",['Maslyn'],['maslyn']
"Maslyn wasn’t eating
neither, only staring at his soup as if the smell of it was about to
make him sick.I’ll need to watch that one, Chett thought.
“Assemble!”, The shout came suddenly, from a dozen throats, and
quickly spread to every part of the hilltop camp.","['Maslyn', 'Chett']","['maslyn', 'chett']"
"“Men of the
Night’s Watch!Assemble at the central �re!”,
Frowning, Chett �nished his soup and followed the rest.
The Old Bear stood before the �re with Smallwood, Locke,
Wythers, and Blane ranged behind him in a row.","['Smallwood', 'Wythers', 'Blane']",['blane']
"Mormont wore a
cloak of thick black fur, and his raven perched upon his shoulder,
preening its black feathers.This can’t be good.Chett squeezed
between Brown Bernarr and some Shadow Tower men.","['Brown Bernarr', 'Shadow Tower']",['brown']
"When
everyone was gathered, save for the watchers in the woods and the
guards on the ringwall, Mormont cleared his throat and spat.The
spittle was frozen before it hit the ground.",['Mormont'],['mormont']
"Thoren believes their van
will be upon us ten days hence.Their most seasoned raiders will be
with Harma Dogshead in that van.The rest will likely form a
rearguard, or ride in close company with Mance Rayder himself.
","['Thoren', 'Harma Dogshead', 'Mance Rayder']","['thoren', 'harma', 'mance']"
"In short, though they are numerous, they are
vulnerable … and they do not know that we are here.Or so we must
pray.”,
They know, thought Chett.You bloody old pus bag, they know,
certain as sunrise.",['Chett'],['chett']
"Qhorin Halfhand hasn’t come back, has he?Nor
Jarman Buckwell.If any of them got caught, you know damned well the
wildlings will have wrung a song or two out of them by now.
","['Qhorin Halfhand', 'Jarman Buckwell']","['qhorin', 'jarman']"
"“We will ride north, and loop
around to the west.Harma’s van will be well past the Fist by the
time we turn.The foothills of the Frostfangs are full of narrow
winding valleys made for ambush.","['Harma', 'Fist', 'Frostfangs']",['harma']
"We shall fall on them in several places at once, and
make them swear we were three thousand, not three hundred.”,
“We’ll hit hard and be away before their horsemen can form up to
face us,”, Thoren Smallwood said.",['Thoren Smallwood'],['thoren']
"If not, we’ll harry them all the way to
the Wall, and see to it that they leave a trail of corpses to mark
their progress.”,
“There are thousands,”, someone called from behind Chett.
",['Chett'],['chett']
"Mance Rayder himself, if we �nd him.If they break and return
to their hovels, we’ve won.“We’ll die.”, That was Maslyn’s voice, green with fear.
“Die,”, screamed Mormont’s raven, �apping its black wings.","['Maslyn', 'Mormont’s']","['maslyn', 'mormont']"
"Remember your words, brothers.For we are
the swords in the darkness, the watchers on the walls …”,
“The �re that burns against the cold.”, Ser Mallador Locke drew
his longsword.
","['Mallador Locke', 'longsword']",['mallador']
"The shield that guards the realms of men!”, Chett had no
choice but to join his voice to the others.The air was misty with
their breath, and �relight glinted o� the steel.",['Chett'],['chett']
"He was pleased to
see Lark and Softfoot and Sweet Donnel Hill joining in, as if they
were as big fools as the rest.That was good.No sense to draw
attention, when their hour was so close.
","['Lark', 'Sweet Donnel Hill']","['lark', 'sweet']"
"The �ames swirled and shivered,
as if they too were cold, and in the sudden quiet the Old Bear’s
raven cawed loudly and once again said, “Die.”,
Clever bird, thought Chett as the o�cers dismissed them, warning
everyone to get a good meal and a long rest tonight.","['Bear’s', 'Clever', 'Chett']",['chett']
"What if that bloody oath gave one of his a change of heart?
Or Small Paul forgot and tried to kill Mormont during the second
watch in place of the third?","['Small Paul', 'Mormont', 'second', 'third']","['small', 'mormont']"
"Or Maslyn lost his courage, or someone
turned informer, or … 
He found himself listening to the night.The wind did sound like a
wailing child, and from time to time he could hear men’s voices, a
horse’s whinny, a log spitting in the �re.",['Maslyn'],['maslyn']
"But nothing else.So quiet.
He could see Bessa’s face �oating before him.It wasn’t the knife I
wanted to put in you, he wanted to tell her.I picked you �owers, wild
roses and tansy and goldencups, it took me all morning.",['Bessa'],['bessa']
"His heart was
thumping like a drum, so loud he feared it might wake the camp.
Ice caked his beard all around his mouth.Where did that come from,
with Bessa?",['Bessa'],['bessa']
"They won’t need Dywen
nor Bannen to hunt us down neither, not if we’re tracking through fresh
snow.And snow hid the shape of the ground, especially by night.","['Dywen', 'Bannen']","['dywen', 'bannen']"
"Not now.Gods be damned, not NOW!The Old Bear had hidden far-
eyes in a ring of trees around the Fist, to give warning of any
approach.Jarman Buckwell’s back from the Giant’s Stair, Chett
�gured, or Qhorin Half-hand from the Skirling Pass.","['Jarman Buckwell’s', 'Giant’s Stair', 'Qhorin Half', 'the Skirling Pass']","['jarman', 'giant', 'qhorin']"
"A single blast of
the horn meant brothers returning.If it was the Halfhand, Jon Snow
might be with him, alive.
Sam Tarly sat up pu�y-eyed and stared at the snow in confusion.
","['Halfhand', 'Jon Snow', 'Sam Tarly']","['jon', 'sam']"
"The ravens were cawing noisily, and Chett could hear his dogs
baying.Half the bloody camp’s awake.His gloved �ngers clenched
around the dagger’s hilt as he waited for the sound to die away.",['Chett'],['chett']
"But
no sooner had it gone than it came again, louder and longer.
Uuuuuuuuuuuuhooooooooooooooo.
“Gods,”, he heard Sam Tarly whimper.The fat boy lurched to his
knees, his feet tangled in his cloak and blankets.","['Uuuuuuuuuuuuhooooooooooooooo', 'Sam Tarly']",['sam']
"He kicked them
away and reached for a chainmail hauberk he’d hung on the rock
nearby.As he slipped the huge tent of a garment down over his
head and wriggled into it, he spied Chett standing there.",['Chett'],['chett']
"“Was it
two?”, he asked.“I dreamed I heard two blasts …”,
“No dream,”, said Chett.“Two blasts to call the Watch to arms.
Two blasts for foes approaching.","['Chett', 'Watch']",['chett']
"Samwell Tarly stood
shaking, his face the same color as the snow that swirled down all
around them.“Three,”, he squeaked to Chett, “that was three, I
heard three.",['Chett'],['chett']
"Three means—”,
“—Others.”, Chett made a sound that was half a laugh and half a
sob, and suddenly his smallclothes were wet, and he could feel the
piss running down his leg, see steam rising o� the front of his
breeches.
",['Chett'],['chett']
"He could hear birds singing, and feel the river
moving beneath the boat as the sweep of the oars sent them toward
the pale pink dawn.After so long in darkness, the world was so
sweet that Jaime Lannister felt dizzy.",['Jaime Lannister'],['jaime']
"Not that Jaime had ever seen her
smiling.He amused himself by picturing her in one of Cersei’s
silken gowns in place of her studded leather jerkin.As well dress a
cow in silk as this one.
","['Jaime', 'Cersei’s']","['jaime', 'cersei']"
"Even after
rowing half the night, she showed no signs of tiring, which was
more than could be said for his cousin Ser Cleos, laboring on the
other oar.",['Ser Cleos'],['cleos']
"“You’d think my word as a Lannister was not good enough,”,
he’d japed as they bound him.He’d been very drunk by then, thanks
to Catelyn Stark.Of their escape from Riverrun, he recalled only
bits and pieces.","['Lannister', 'Catelyn Stark', 'Riverrun']",['catelyn']
"He remembered listening to Lady
Catelyn command someone to raise the portcullis on the Water
Gate.She was sending Ser Cleos Frey back to King’s Landing with
new terms for the queen, she’d declared in a tone that brooked no
argument.
","['Lady\nCatelyn', 'the Water\nGate', 'Ser Cleos Frey', 'King’s Landing']",['cleos']
"He must have drifted o� then.The wine had made him sleepy,
and it felt good to stretch, a luxury his chains had not permitted him
in the cell.Jaime had long ago learned to snatch sleep in the saddle
during a march.",['Jaime'],['jaime']
"“You’ll wear your chains, Kingslayer.”,
“You �gure to row all the way to King’s Landing, wench?”,
“You will call me Brienne.Not wench.”,
“My name is Ser Jaime.","['Kingslayer', 'King’s Landing', 'Brienne', 'Ser Jaime']","['brienne', 'jaime']"
"“I’d ask you to open your
bodice, but from the look of you that wouldn’t prove much.”,
Ser Cleos fretted.“Cousin, remember your courtesies.”,
The Lannister blood runs thin in this one.","['Cleos', 'Lannister']",['cleos']
"Cleos was his Aunt
Genna’s son by that dullard Emmon Frey, who had lived in terror of
Lord Tywin Lannister since the day he wed his sister.When Lord
Walder Frey had brought the Twins into the war on the side of
Riverrun, Ser Emmon had chosen his wife’s allegiance over his
father’s.","['Cleos', 'Aunt\nGenna’s', 'Emmon Frey', 'Tywin Lannister', 'Twins', 'Riverrun', 'Emmon']","['cleos', 'emmon', 'tywin', 'emmon']"
"Casterly Rock got the worst of that bargain, Jaime re�ected.
Ser Cleos looked like a weasel, fought like a goose, and had the
courage of an especially brave ewe.","['Cleos', 'ewe']",['cleos']
"Lady Stark had promised him
release if he delivered her message to Tyrion, and Ser Cleos had
solemnly vowed to do so.
They’d all done a deal of vowing back in that cell, Jaime most of
all.","['Lady Stark', 'Ser Cleos', 'Jaime']","['cleos', 'jaime']"
"That was Lady Catelyn’s price for loosing him.She had laid the
point of the big wench’s sword against his heart and said, “Swear
that you will never again take up arms against Stark nor Tully.
","['Lady Catelyn’s', 'Stark', 'Tully']","['catelyn', 'tully']"
"Not that Jaime was truly concerned about that fat
fraud, or the gods he claimed to serve.He remembered the pail
Lady Catelyn had kicked over in his cell.","['Jaime', 'Lady Catelyn']","['jaime', 'catelyn']"
"A strange woman, to trust
her girls to a man with shit for honor.Though she was trusting him
as little as she dared.She is putting her hope in Tyrion, not in me.
",['Tyrion'],['tyrion']
"“By your speech, I’d judge
you nobly born.”,
“My father is Selwyn of Tarth, by the grace of the gods Lord of
Evenfall.”, Even that was given grudgingly.
","['Selwyn of Tarth', 'Evenfall']",['selwyn']
"As glib of tongue as she is fair of face.“Tarth,”, Jaime said.“A ghastly large rock in the narrow sea, as I
recall.And Evenfall is sworn to Storm’s End.","['Jaime', 'Evenfall', 'Storm’s End']",['jaime']
"How is it that you
serve Robb of Winterfell?”,
“It is Lady Catelyn I serve.And she commanded me to deliver
you safe to your brother Tyrion at King’s Landing, not to bandy
words with you.","['Lady Catelyn', 'Tyrion', 'King’s Landing']","['catelyn', 'tyrion']"
"Be silent.”,
“I’ve had a bellyful of silence, woman.”,
“Talk with Ser Cleos then.I have no words for monsters.”,
Jaime hooted.“Are there monsters hereabouts?",['Jaime'],['jaime']
"Their journey north had been one
long torment; seeing her every day, unable to touch her, knowing
that Robert stumbled drunkenly into her bed every night in that
great creaking wheelhouse.",['Robert'],['robert']
"Hiding beneath
the water, perhaps?In that thick of willows?The wretched boy was spying on us.All Jaime had wanted
was an hour alone with Cersei.Tyrion had done his best to keep him in
a good humor, but it had not been enough.",['Jaime'],['jaime']
"“You will be courteous
as concerns Cersei, wench,”, he warned her.
“My name is Brienne, not wench.”,
“What do you care what a monster calls you?”,
“My name is Brienne,”, she repeated, dogged as a hound.
","['Cersei', 'Brienne', 'Brienne']","['cersei', 'brienne', 'brienne']"
"You can trick out a milk cow in crupper,
crinet, and chamfron, and bard her all in silk, but that doesn’t mean
you can ride her into battle.”,
“Cousin Jaime, please, you ought not speak so roughly.”, Under
his cloak, Ser Cleos wore a surcoat quartered with the twin towers
of House Frey and the golden lion of Lannister.","['Ser Cleos', 'House Frey', 'Lannister']","['cleos', 'frey']"
"“Lady Brienne?”, She looked so uncomfortable that Jaime sensed a
weakness.“Or would Ser Brienne be more to your taste?”, He
laughed.“No, I fear not.“We have far to go,
we should not quarrel amongst ourselves.”,
“When I quarrel I do it with a sword, coz.","['Lady Brienne', 'Jaime', 'Ser Brienne']","['brienne', 'jaime', 'brienne']"
"“She’s rude as well, isn’t she, coz?”, Jaime asked Ser Cleos.
“Though she has steel in her spine, I’ll grant you.Not many men
dare name me monster to my face.”, Though behind my back they
speak freely enough, I have no doubt.
","['Jaime', 'Ser Cleos']","['jaime', 'cleos']"
"Ser Cleos coughed nervously.“Lady Brienne had those lies from
Catelyn Stark, no doubt.Jaime smiled
knowingly.Men will read all sorts of things into a knowing smile, if
you let them.","['Cleos', 'Brienne', 'Catelyn Stark']","['cleos', 'brienne', 'catelyn']"
